Scheme,Score
NSGA2,0.2091944987993
NSGA2,0.2182981544841759
NSGA2,0.2048016012778571
NSGA2,0.2189512845654896
NSGA2,0.2205119394842216
NSGA2,0.2207843012766824
NSGA2,0.2216468593328453
NSGA2,0.2146827228889768
NSGA2,0.220583131129986
NSGA2,0.2216161557825129
NSGA2,0.2149948702320127
NSGA2,0.2248224101006347
NSGA2,0.2219026024242397
NSGA2,0.2085670270784368
NSGA2,0.2171243237885787
NSGA2,0.2256931547352373
NSGA2,0.2281503001882074
NSGA2,0.2229417673689031
NSGA2,0.2238090591589425
NSGA2,0.216631362526153
NSGA2,0.2250331933404521
NSGA2,0.2064706220811594
NSGA2,0.2215203183973534
NSGA2,0.2150759867601113
NSGA2,0.2233113771646738
NSGA2,0.2100121308956261
NSGA2,0.2176274079140607
NSGA2,0.2225471691129463
NSGA2,0.2108811638879656
NSGA2,0.2171768182428559
NSGA2,0.2237152693452826
NSGA2,0.2267925180139447
NSGA2,0.2171829487758557
NSGA2,0.207059736118398
NSGA2,0.2212327737904172
NSGA2,0.2116900619152271
NSGA2,0.2207738335665147
NSGA2,0.2197311502002847
NSGA2,0.2281789623343486
NSGA2,0.215880709682771
Lexicase,0.2175831586624035
Lexicase,0.2262300500740038
Lexicase,0.2248858189800803
Lexicase,0.2277579081115979
Lexicase,0.2183406262592232
Lexicase,0.2116058739336401
Lexicase,0.2260650804716456
Lexicase,0.2221013673704545
Lexicase,0.2279808096790283
Lexicase,0.2090017238633432
Lexicase,0.211996133287582
Lexicase,0.2105657375356562
Lexicase,0.2108384461061515
Lexicase,0.2156546844837764
Lexicase,0.2144824399270013
Lexicase,0.2137945156316895
Lexicase,0.2327853446642619
Lexicase,0.2144454066207844
Lexicase,0.2235230080162524
Lexicase,0.2192481593746186
Lexicase,0.2204279219084122
Lexicase,0.2108110262703058
Lexicase,0.2271910974098576
Lexicase,0.21953343682734
Lexicase,0.2153645996077449
Lexicase,0.2257263400534988
Lexicase,0.2130654656827025
Lexicase,0.2102752825132869
Lexicase,0.2140778679934355
Lexicase,0.2182487304561552
Lexicase,0.204354610402047
Lexicase,0.203236935205781
Lexicase,0.2173580716207732
Lexicase,0.2133869810128918
Lexicase,0.2286693562531403
Lexicase,0.2262831889927092
Lexicase,0.2222860900468332
Lexicase,0.2092919368513101
Lexicase,0.2119203662654549
Lexicase,0.2222938344659965
